stronghold,rank,player,squad,power,warden
1,1,SireJoe,1,2160918134,1
1,2,Entropy,1,1674797106,0
1,3,└_ノ ȧm KεLσ ツ,1,1000748935,0
1,4,Zhuo Fan,1,983635734,0
1,5,WeaponsOfFury,1,832408045,0
1,6,Weeeeeeeeeė,1,801386972,0
1,7,༄Angel༄,1,793446526,0
1,8,Sahᴮᴵᴸᴸʸ,1,715830169,0
1,9,Petr the Greate,1,699447469,0
1,10,FARQD,1,659523741,0
1,11,千ǔεGσ ツᵃᵏˢ,1,641839419,0
1,12,Lennon123,1,639402543,0
1,13,Death Angel,1,615736597,0
1,14,Iron King,1,599488194,0
1,15,adel,1,576059053,0
1,16,Sahᴮᴵᴸᴸʸ,2,562992797,0
1,17,Roro Moon ^ᴥ^,1,535813040,0
1,18,Baby Weeeeeeeeee,1,525428291,0
1,19,Reina,1,314588681,0
1,20,Boudicca,2,309403349,0
2,1,SireJoe,2,1839192837,1
2,2,'BembangHalo2',1,716310284,0
2,3,ㅛ ·ĒĹ· ㅛ,1,594976811,0
2,4,千ǔεGσ ツᵃᵏˢ,2,575301688,0
2,5,MiniWoF,1,520376577,0
2,6,A░L░F░H░D░,1,516763522,0
2,7,adel,2,503349079,0
2,8,SandersX,1,493024615,0
2,9,ㅛ ·ĒĹ· ㅛ,2,484725787,0
2,10,Baby Weeeeeeeeee,2,461361111,0
2,11,Krakatok,2,440187181,0
2,12,Nope,1,439208007,0
2,13,Bunny ഗ്,2,421538119,0
2,14,Cary,2,403291172,0
2,15,t3o,2,369035096,0
2,16,yosuf to,2,368126736,0
2,17,SandersX,2,367894054,0
2,18,veritas,2,364707388,0
2,19,zooo,2,361672977,0
2,20,ꙄNAKE,2,345303135,0
3,1,Entropy,2,1426606689,1
3,2,Zhuo Fan,2,756328950,0
3,3,WeaponsOfFury,2,674474266,0
3,4,༄Angel༄,2,651226799,0
3,5,Weeeeeeeeeė,2,643061049,0
3,6,Petr the Greate,2,620352413,0
3,7,༄Applɛ༄,1,529197633,0
3,8,jerry,1,509850128,0
3,9,WizardOrchid,2,507281849,0
3,10,lewa968,1,491059037,0
3,11,Death Angel,2,485796618,0
3,12,Iron King,2,483464944,0
3,13,A░L░F░H░D░,2,474003772,0
3,14,Roro Moon ^ᴥ^,2,450401726,0
3,15,MiniWoF,2,429976344,0
3,16,yosuf to,1,427994971,0
3,17,legkrut,2,404324720,0
3,18,Sirius,1,394030192,0
3,19,Albi,1,365308146,0
3,20,Miss Green,1,307388925,0
4,1,Elara,2,778331765,1
4,2,Titus Pullo,1,703306416,0
4,3,la reine,1,696675897,0
4,4,Nikoś,1,662965194,0
4,5,熊熊遇見桑,1,641098939,0
4,6,SashaGreat,2,619460479,0
4,7,'BembangHalo2',2,618870533,0
4,8,Lufubustpika,1,549049642,0
4,9,熊熊遇見桑,2,524643712,0
4,10,Krakatok,1,486980067,0
4,11,Bunny ഗ്,1,470562981,0
4,12,༄Applɛ༄,2,465077573,0
4,13,Nymphadora,2,431877650,0
4,14,小新b,1,409714984,0
4,15,pomp,2,392913445,0
4,16,小新b,2,375002107,0
4,17,Joe Black,1,349710946,0
4,18,bread crumb,1,308919667,0
4,19,Bean,2,304463845,0
4,20,Reina,2,298705298,0
5,1,熊熊遇見Don冬米糕,1,872228343,1
5,2,└_ノ ȧm KεLσ ツ,2,811600522,0
5,3,Saafiya,1,724936581,0
5,4,熊熊遇見Don冬米糕,2,706538449,0
5,5,Fresh302,2,685604049,0
5,6,Saafiya,2,638499132,0
5,7,Titus Pullo,2,564686311,0
5,8,FARQD,2,559107816,0
5,9,la reine,2,550850468,0
5,10,lewa968,2,514675444,0
5,11,Dennypaypy,1,483067114,0
5,12,pomp,1,481583379,0
5,13,legkrut,1,445658127,0
5,14,Lufubustpika,2,427166446,0
5,15,Boudicca,1,379643232,0
5,16,Nope,2,364110398,0
5,17,bread crust,1,341681863,0
5,18,Sirius,2,339790824,0
5,19,veritas,1,314610966,0
5,20,bread crust,2,290102922,0
6,1,Elara,1,977814871,1
6,2,Fresh302,1,844684799,0
6,3,SashaGreat,1,733144837,0
6,4,Lennon123,2,581105229,0
6,5,SrNoa,1,569853106,0
6,6,WizardOrchid,1,567481040,0
6,7,Nymphadora,1,539926307,0
6,8,Nikoś,2,520213490,0
6,9,Cary,1,511486335,0
6,10,jerry,2,465166145,0
6,11,t3o,1,464645169,0
6,12,SrNoa,2,461452633,0
6,13,Bean,1,417953958,0
6,14,Dennypaypy,2,410535769,0
6,15,ꙄNAKE,1,398369780,0
6,16,zooo,1,382955694,0
6,17,Emre,1,378542571,0
6,18,Emre,2,359366654,0
6,19,Joe Black,2,335912812,0
