stronghold,rank,player,squad,power,warden
1,1,KnackeredNoggin,1,2183872933,1
1,2,TLE_Nick,1,1069885259,0
1,3,Gettitt,1,896834205,0
1,4,Fury,1,893956780,0
1,5,ঔ×° Queen B °×,1,808379339,0
1,6,Alizarin Crimson,1,717187617,0
1,7,ᖷ Bкᖷ,1,677885375,0
1,8,Md0909,1,661365275,0
1,9,Atreyu,1,638783103,0
1,10,Nomad,1,608418624,0
1,11,Glooorz,2,594578084,0
1,12,Hornet,2,578559441,0
1,13,SUPER Szeee,1,553394169,0
1,14,Alizarin Crimson,2,550887704,0
1,15,Bay,2,496781811,0
1,16,Yahya07,1,494735196,0
1,17,kajol,1,485469060,0
1,18,smol zeo ໒·,1,475830240,0
1,19,Blueberry,1,439799342,0
1,20,Evil Bunny,2,424628008,0
2,1,Ary,2,962686370,1
2,2,Fury,2,728863028,0
2,3,breta,1,693149128,0
2,4,Simba,1,683824932,0
2,5,Hachiman,1,631866002,0
2,6,Merlino,1,629301208,0
2,7,MuEzZa,2,622480100,0
2,8,ঔ×° Queen B °×,2,609608381,0
2,9,Abby2,1,533205852,0
2,10,Merlino,2,508735326,0
2,11,E °°Liz°°,1,501791312,0
2,12,Softly Calmly,2,475293464,0
2,13,Sabri22,2,429655721,0
2,14,Sand Ra,1,377797559,0
2,15,ShadowGhostJoint,1,342490803,0
2,16,InsideOut,1,336032888,0
2,17,Kelbo,1,313855671,0
2,18,Penguin Naj,2,312560370,0
2,19,Sea,1,306368565,0
2,20,Phantom Thief,1,245979489,0
3,1,KnackeredNoggin,2,1905456711,1
3,2,TLE_Nick,2,817377200,0
3,3,Bay,1,607950876,0
3,4,Ndi Ari,2,604205791,0
3,5,ᖷ Bкᖷ,2,593246668,0
3,6,breta,2,551273912,0
3,7,Md0909,2,542860105,0
3,8,Softly Calmly,1,537367043,0
3,9,Canine,1,479953436,0
3,10,Tania,1,468594417,0
3,11,NIHAKU°,2,455201652,0
3,12,Yahya07,2,450456713,0
3,13,Abby2,2,445188201,0
3,14,E °°Liz°°,2,410420812,0
3,15,Sand Ra,2,380253780,0
3,16,smol zeo ໒·,2,345224128,0
3,17,InsideOut,2,331368051,0
3,18,ShadowGhostJoint,2,319680562,0
3,19,Kelbo,2,283386929,0
3,20,Phantom Thief,2,214696550,0
4,1,Hornet,1,711872201,1
4,2,Glooorz,1,670887133,0
4,3,leelee,1,613751183,0
4,4,Dao,1,570792749,0
4,5,Reyyy,1,553672735,0
4,6,Pyob,1,543766130,0
4,7,Hachiman,2,531590503,0
4,8,MuEzZa,1,510251155,0
4,9,Lia Alya,1,477058457,0
4,10,kajol,2,466895331,0
4,11,aliee,2,453762035,0
4,12,肥來了,1,444401752,0
4,13,Wasp,1,432919147,0
4,14,Nath,1,414942785,0
4,15,Canine,2,401340350,0
4,16,Sollazza,2,369913881,0
4,17,User1234,1,277477833,0
4,18,Sea,2,241328823,0
4,19,little ol' me,1,174507711,0
4,20,Splinter,1,139438553,0
5,1,Ndi Ari,1,780405365,1
5,2,Gettitt,2,759414889,0
5,3,Learnman,1,633605787,0
5,4,JzM,1,570096747,0
5,5,Learnman,2,528763674,0
5,6,leelee,2,513229566,0
5,7,Gεrα Rεy,1,497222760,0
5,8,Atreyu,2,495960803,0
5,9,Sabri22,1,488482442,0
5,10,Dao,2,487530341,0
5,11,LIN,1,477657607,0
5,12,Pyob,2,465848872,0
5,13,JzM,2,450953334,0
5,14,Reyyy,2,435562930,0
5,15,Gεrα Rεy,2,399104129,0
5,16,肥來了,2,393234926,0
5,17,SoftieDriftie,2,334961720,0
5,18,User1234,2,238795972,0
5,19,little ol' me,2,143842678,0
5,20,Splinter,2,104688709,0
6,1,Ary,1,1223990239,1
6,2,NIHAKU°,1,595918549,0
6,3,aliee,1,525283086,0
6,4,Nomad,2,512784648,0
6,5,Simba,2,509401234,0
6,6,Sollazza,1,488143597,0
6,7,LIN,2,454897992,0
6,8,SUPER Szeee,2,448010929,0
6,9,Lia Alya,2,439769095,0
6,10,Evil Bunny,1,428562661,0
6,11,Nath,2,412461793,0
6,12,SoftieDriftie,1,405361524,0
6,13,Penguin Naj,1,398719262,0
6,14,Blueberry,2,389373309,0
6,15,Tania,2,387769433,0
6,16,Wasp,2,346018900,0
6,17,Sparrow,1,341342214,0
6,18,ঔ×°Persephone°×,1,321588932,0
6,19,Sparrow,2,312443150,0
6,20,ঔ×°Persephone°×,2,259971065,0
