stronghold,rank,player,squad,power,warden
1,1,NoSoup4u,1,2441234015,1
1,2,Camille Khan,1,2149363462,0
1,3,Peanut Hamper,2,1645463799,0
1,4,Megs,2,1535808030,0
1,5,ShadowX,1,1261118502,0
1,6,Macsen,1,1107921920,0
1,7,SAIF,1,1065901495,0
1,8,Weebins,2,1034581449,0
1,9,Tdancer2,1,1029357246,0
1,10,SAIF,2,850482086,0
1,11,The Nutz,1,838598560,0
1,12,chapo the frog,1,780214808,0
1,13,Danny,1,655162209,0
1,14,Meryl,1,640516132,0
1,15,MUD,1,608213766,0
1,16,Lioness,1,504460017,0
1,17,Meryl,2,487743252,0
1,18,Lioness,2,474051672,0
1,19,精氣神,1,461770058,0
1,20,POINTLESS,1,345384473,0
2,1,Camille Khan,2,2411282484,1
2,2,Megs,1,1709294333,0
2,3,Weebins,1,1318640363,0
2,4,ShadowX,2,1151040164,0
2,5,fadher pablo,1,733688845,0
2,6,Mopeyvader,1,715946690,0
2,7,jinx,2,604715043,0
2,8,chapo the frog,2,592677419,0
2,9,Ari6,2,578807750,0
2,10,I Am Groot,2,571082685,0
2,11,ssh12345,1,536790701,0
2,12,MUD,2,532592068,0
2,13,Charlie,2,508539388,0
2,14,Danny,2,496593616,0
2,15,ssh12345,2,490517895,0
2,16,Memily,1,484899789,0
2,17,MiniCanary,2,478463313,0
2,18,BizarreStar,2,294127802,0
2,19,KayRenae,2,273565158,0
2,20,Mostafa fathy,2,263753761,0
3,1,NoSoup4u,2,2032986451,1
3,2,Peanut Hamper,1,1781382475,0
3,3,Junior,1,1294060032,0
3,4,Junior,2,1057022321,0
3,5,Tdancer2,2,891756793,0
3,6,Deadly_Kilt,1,696457306,0
3,7,OTTOMAN,2,681860359,0
3,8,I Am Groot,1,669536776,0
3,9,Mopeyvader,2,663651063,0
3,10,Charlie,1,600898517,0
3,11,fadher pablo,2,588921809,0
3,12,MiniCanary,1,581483185,0
3,13,SKC250902,1,492357260,0
3,14,Memily,2,448221017,0
3,15,Burnt Sosig,1,421768388,0
3,16,Luiz,2,411122873,0
3,17,LINDA,1,405089613,0
3,18,精氣神,2,398473897,0
3,19,Luiz,1,354482798,0
3,20,LINDA,2,329803094,0
4,1,Macsen,2,827980728,1
4,2,Canary,1,737295744,0
4,3,Redeemer,1,673798783,0
4,4,Flaus,1,574420141,0
4,5,Kris_,1,531575937,0
4,6,내가 왕이다,1,402371964,0
4,7,Twinkle,2,382611261,0
4,8,Burnt Sosig,2,378315857,0
4,9,내가 왕이다,2,371115292,0
4,10,Eagle's Eye,1,331335386,0
4,11,MallyPally,1,318727503,0
4,12,KayRenae,1,291675581,0
4,13,Kalenian,1,250674287,0
4,14,badgarfield,2,212060057,0
4,15,LordXama,1,211958112,0
4,16,tom_,1,207876966,0
4,17,Frost King,1,199413961,0
4,18,Андрей 1988,1,190676109,0
4,19,KingRama27,2,190119078,0
4,20,tom_,2,170996111,0
5,1,jinx,1,770189415,1
5,2,Sara,1,716970403,0
5,3,Mistyy,2,714424487,0
5,4,The Nutz,2,649621026,0
5,5,Canary,2,603318453,0
5,6,Redeemer,2,585203880,0
5,7,ninjapro,1,585004411,0
5,8,Sengana,1,508953278,0
5,9,ninjapro,2,507557628,0
5,10,Flaus,2,466852401,0
5,11,Kris_,2,378677015,0
5,12,Twinkle,1,359387668,0
5,13,Big,1,310412078,0
5,14,MallyPally,2,299676244,0
5,15,Tiny Dancer,1,297266361,0
5,16,POINTLESS,2,288355077,0
5,17,LordXama,2,201641919,0
5,18,Андрей 1988,2,183070359,0
5,19,Frost King,2,182733141,0
5,20,Flestz,1,137086790,0
6,1,Mistyy,1,815838969,1
6,2,OTTOMAN,1,795127057,0
6,3,Ari6,1,694543498,0
6,4,Sara,2,582013684,0
6,5,Deadly_Kilt,2,547425794,0
6,6,Sengana,2,455987139,0
6,7,SKC250902,2,432397391,0
6,8,Eagle's Eye,2,302419662,0
6,9,BizarreStar,1,296373087,0
6,10,Tiny Dancer,2,287747733,0
6,11,국방부장관,1,284786962,0
6,12,臻龍太子,1,273894617,0
6,13,badgarfield,1,259753304,0
6,14,Mostafa fathy,1,254387780,0
6,15,臻龍太子,2,250937521,0
6,16,국방부장관,2,242562511,0
6,17,Big,2,238420010,0
6,18,Kalenian,2,236198985,0
6,19,KingRama27,1,198381408,0
6,20,MiniMerida1981,2,144321736,0
