stronghold,rank,player,squad,power,warden
1,1,(blank),1,1243443962,1
1,2,(blank),2,981013330,0
1,3,kr1dm,1,806914311,0
1,4,Narcotics,1,712683874,0
1,5,elvs,1,695791542,0
1,6,TMBSHROOM,1,649919536,0
1,7,ItsAllemao,1,612388199,0
1,8,Darkzeeko,1,584660860,0
1,9,LordTheGreatest,2,580680454,0
1,10,elvs,2,580453790,0
1,11,Toad,2,551752793,0
1,12,MBG,1,543675679,0
1,13,Milord,1,537655936,0
1,14,Edo,2,505274843,0
1,15,Alpinacolada,2,465320118,0
1,16,Milord,2,463266911,0
1,17,@MONEY@,1,457255499,0
1,18,gusdyds7,1,410437428,0
1,19,Türk Devleti,1,378174719,0
1,20,Stesha,2,374485681,0
2,1,⊶GuGu⊷,1,1007479036,1
2,2,⊶GuGu⊷,2,839026189,0
2,3,Alpinacolada,1,551890414,0
2,4,GaTTo,2,549427410,0
2,5,Hunger4More,2,519548800,0
2,6,Aira,2,498073200,0
2,7,Kitto Katto,2,497162925,0
2,8,ItsAllemao,2,478559428,0
2,9,Šaturdaÿ,2,476001484,0
2,10,MBG,2,474137867,0
2,11,Ferfecir,1,455310266,0
2,12,itzdk420,1,440552011,0
2,13,Stesha,1,432712416,0
2,14,tay,1,423130369,0
2,15,YꙨM,1,404890625,0
2,16,itzdk420,2,394541124,0
2,17,@MONEY@,2,373072964,0
2,18,gusdyds7,2,365521683,0
2,19,Türk Devleti,2,330516716,0
2,20,dul,1,279897727,0
3,1,FedeC,1,958939175,1
3,2,FedeC,2,737459262,0
3,3,Dziadek,1,731645456,0
3,4,Rebel,2,667816623,0
3,5,LordTheGreatest,1,657040672,0
3,6,Hunger4More,1,637741259,0
3,7,AlexWinter,1,616381187,0
3,8,Aira,1,601769799,0
3,9,Tanmay,1,580982866,0
3,10,Narcotics,2,543155072,0
3,11,AlexWinter,2,531522158,0
3,12,Kookie,2,509229011,0
3,13,LaCrazyLicorne,1,497432535,0
3,14,Tanmay,2,495948412,0
3,15,Katemush,2,489210078,0
3,16,Ferfecir,2,461647172,0
3,17,Jelly,2,417560708,0
3,18,winter_,1,415035331,0
3,19,犬醉雨,1,414760338,0
3,20,犬醉雨,2,410464028,0
4,1,Kloss,1,924195617,1
4,2,Kloss,2,806202782,0
4,3,iain Frost,1,689899414,0
4,4,Andrez,1,628562985,0
4,5,Kitto Katto,1,623608547,0
4,6,GaTTo,1,607719659,0
4,7,Xena,1,578312017,0
4,8,R¥NO,1,556000891,0
4,9,iain Frost,2,550928357,0
4,10,Edo,1,538943719,0
4,11,huam41,1,516975251,0
4,12,Darkzeeko,2,485594474,0
4,13,°°CABRILIK°°,1,458595382,0
4,14,Old_Viking,1,457343724,0
4,15,LaCrazyLicorne,2,451516901,0
4,16,huam41,2,449331133,0
4,17,Cui,1,419966050,0
4,18,Jelly,1,410229943,0
4,19,Thiago Casarini,1,354775408,0
4,20,Андрюха,1,345286505,0
5,1,Hassikkome,1,963450447,1
5,2,eneny,1,835664675,0
5,3,Hassikkome,2,752227506,0
5,4,Toad,1,670288951,0
5,5,Lime Knight,1,630735725,0
5,6,Kookie,1,629921893,0
5,7,Pipeline,1,626489249,0
5,8,kr1dm,2,618222456,0
5,9,eneny,2,601876856,0
5,10,Dziadek,2,600535550,0
5,11,Garlicmushroom,1,579323074,0
5,12,David Hasselhoff,1,562449502,0
5,13,TMBSHROOM,2,538986162,0
5,14,Pipeline,2,536973358,0
5,15,Katemush,1,527873854,0
5,16,Chu,1,502943378,0
5,17,Rochus0815,1,461152097,0
5,18,Ania 2000,1,429599869,0
5,19,Ania 2000,2,415858314,0
5,20,Cui,2,402009335,0
6,1,Rebel,1,810136392,1
6,2,Šaturdaÿ,1,552313418,0
6,3,Andrez,2,538213972,0
6,4,Lime Knight,2,489136213,0
6,5,David Hasselhoff,2,481317165,0
6,6,°°CABRILIK°°,2,475613349,0
6,7,Xena,2,471398555,0
6,8,R¥NO,2,455767060,0
6,9,JBV,1,421054731,0
6,10,Garlicmushroom,2,417612710,0
6,11,JBV,2,407718511,0
6,12,MaD_MaN,1,400668865,0
6,13,Klaus_jr,1,396598606,0
6,14,Chu,2,392250969,0
6,15,HouShroom :o,1,391153713,0
6,16,Rochus0815,2,387607443,0
6,17,LordOfSurvival,1,375320363,0
6,18,MaD_MaN,2,364375566,0
6,19,tay,2,363259059,0
6,20,Old_Viking,2,360728272,0
