stronghold,rank,player,squad,power,warden
1,1,Peppermint,1,1627495869,1
1,2,Rollo,2,1327445565,0
1,3,Tayxo,1,994089249,0
1,4,Micky,1,953954346,0
1,5,I'm Awesome!,2,773319965,0
1,6,Hnoo,1,736123365,0
1,7,Ragnar 071603,2,717787413,0
1,8,Momottë,1,672768474,0
1,9,sam,1,648043406,0
1,10,LORENZO 91,1,641484762,0
1,11,• Xena •,1,620810753,0
1,12,Fenerbahçe,2,619160493,0
1,13,BSM,1,611328103,0
1,14,Buu,1,607118675,0
1,15,Floki,1,606346045,0
1,16,Willy Whackit,1,587055889,0
1,17,Hnoo,2,578685749,0
1,18,'mV,1,519810384,0
1,19,Willy Whackit,2,516667129,0
1,20,LittleMïz,2,485560615,0
2,1,Rollo,1,1510625640,1
2,2,3C SPCX,1,957164260,0
2,3,ExChaos,1,804677975,0
2,4,warrior wolf,1,727182912,0
2,5,Aashman,1,647056077,0
2,6,Dublin 1890,2,620607287,0
2,7,Allis Tsoi,1,617899153,0
2,8,LORENZO 91,2,581681063,0
2,9,BSM,2,554360894,0
2,10,MDTH JOKER,1,521058542,0
2,11,Mint,1,506515690,0
2,12,Anonymus,2,506215509,0
2,13,Floki,2,503143303,0
2,14,Buu,2,501426261,0
2,15,Amy,1,493586153,0
2,16,AymerVW,1,493485338,0
2,17,Seany,2,492444784,0
2,18,Amy,2,475913778,0
2,19,AymerVW,2,458471941,0
2,20,bimal,1,451082277,0
3,1,Mushroom,1,1649258310,1
3,2,Peppermint,2,1425120288,0
3,3,I'm Awesome!,1,906069848,0
3,4,Ragnar 071603,1,870700014,0
3,5,Sanica,1,854916433,0
3,6,• CeLo •,1,823723257,0
3,7,3C SPCX,2,765591906,0
3,8,Fenerbahçe,1,685480164,0
3,9,ColossusX,2,658287833,0
3,10,Tohrment,1,621461904,0
3,11,ExChaos,2,614782356,0
3,12,Aashman,2,580703834,0
3,13,Spike12345,2,572411819,0
3,14,sam,2,557934523,0
3,15,Momottë,2,550772640,0
3,16,Snowman,2,549119463,0
3,17,Shozzi9,2,542583260,0
3,18,warrior wolf,2,537611967,0
3,19,Anonymus,1,537396900,0
3,20,Seany,1,529822271,0
5,1,Mushroom,2,1349494995,1
5,2,FMC,1,936489308,0
5,3,MrWaterLemon,1,806751339,0
5,4,Gang&ter 007,1,786161100,0
5,5,Tayxo,2,750664766,0
5,6,ColossusX,1,739020916,0
5,7,Lucian,1,723197714,0
5,8,Fight to the End,2,706864350,0
5,9,ExBasti,2,695709894,0
5,10,Shozzi9,1,683229013,0
5,11,SABINKA,1,666549976,0
5,12,kami,1,652329793,0
5,13,Gang&ter 007,2,618868161,0
5,14,Sassafras McGill,1,615613592,0
5,15,Eggs,1,609656331,0
5,16,Sassafras McGill,2,605922201,0
5,17,Lyne,1,605745971,0
5,18,Eggs,2,581583363,0
5,19,Snowman,1,576203703,0
5,20,Stone,1,532404598,0
6,1,Schamser,2,1129161705,1
6,2,ExBasti,1,932514934,0
6,3,Chaky,1,821351288,0
6,4,FMC,2,758929607,0
6,5,Ritz,2,750161031,0
6,6,Spike12345,1,727409415,0
6,7,kaliグラ,1,695122702,0
6,8,Sanica,2,693198196,0
6,9,Eddy,2,635455459,0
6,10,Fluffy,1,634736911,0
6,11,kaliグラ,2,631820966,0
6,12,Eggplant,1,606288544,0
6,13,MrWaterLemon,2,604097738,0
6,14,Lucian,2,587572966,0
6,15,champoiii,2,576936995,0
6,16,Ghost_Hawk,2,546838550,0
6,17,Tohrment,2,527958216,0
6,18,Kaerii,2,527167102,0
6,19,SABINKA,2,513403757,0
6,20,kami,2,487410617,0
