stronghold,rank,player,squad,power,warden
1,1,Team FishBiscuit,1,575617940,1
1,2,Meg,1,575222121,0
1,3,Meg,2,510196257,0
1,4,İbrahim,1,464729390,0
1,5,Team FishBiscuit,2,459247364,0
1,6,İbrahim,2,416853746,0
1,7,#3174Den,1,372924610,0
1,8,Doxter,2,305265829,0
1,9,Carlitos__,2,304804417,0
1,10,#3174Den,2,303410680,0
1,11,Happy,2,298068782,0
1,12,Celestis,1,287877172,0
1,13,Celestis,2,277907929,0
1,14,Cassss,1,277541885,0
1,15,Panda,2,272941880,0
1,16,Gang&ter,1,272435298,0
1,17,Anunnaki,1,266171547,0
1,18,capy bara,1,260175268,0
1,19,Cassss,2,258973704,0
1,20,Benson,1,247490530,0
2,1,Leoder,1,1406902665,1
2,2,Team hala kahiki,1,1119832218,0
2,3,Interstellar,1,1018920530,0
2,4,Chytras,2,957610969,0
2,5,Team hala kahiki,2,922771277,0
2,6,Awares,1,892185476,0
2,7,Shaka,1,813033481,0
2,8,Mai ♡,1,790000000,0
2,9,MAJD MAJD,1,686438422,0
2,10,Sassy,1,679870452,0
2,11,SANCAK,1,503022859,0
2,12,RADA,2,396043169,0
2,13,Freefall,1,372699976,0
2,14,chefinha,2,368751833,0
2,15,Jesse,2,358458285,0
2,16,المهندسة,2,355430280,0
2,17,Freefall,2,339096497,0
2,18,Manabeille,1,337889525,0
2,19,Happy,1,327777862,0
2,20,Carlitos__,1,320900669,0
3,1,Ms Get Down,1,1183125765,1
3,2,Nibbler,1,1103042165,0
3,3,Nibbler,2,1070898058,0
3,4,Raggylug,2,956457204,0
3,5,Ms Get Down,2,934809291,0
3,6,Interstellar,2,833194697,0
3,7,Katnanas,1,816881187,0
3,8,"Paulo""",1,767604589,0
3,9,PsyPat,1,690005104,0
3,10,Katnanas,2,670913084,0
3,11,SANCAK,2,404662696,0
3,12,Doxter,1,386025319,0
3,13,madam mimin,2,382873937,0
3,14,8SMITTY8,2,365768516,0
3,15,المهندسة,1,359300368,0
3,16,SNOW X JOKER,2,352446643,0
3,17,effylyt,1,348611717,0
3,18,Panda,1,336923830,0
3,19,Manabeille,2,333210282,0
3,20,effylyt,2,320002046,0
4,1,Chytras,1,1158129302,1
4,2,Awares,2,660387031,0
4,3,Mai ♡,2,626000000,0
4,4,CANSæRBæRæ,1,624000000,0
4,5,Luckynanas,1,600539514,0
4,6,PsyPat,2,594107232,0
4,7,Japip,1,586703177,0
4,8,MAJD MAJD,2,530696165,0
4,9,Reddyvetty,2,530422575,0
4,10,CANSæRBæRæ,2,495000000,0
4,11,Kaptain Kurt,2,483111119,0
4,12,ESPARTACO,2,461748896,0
4,13,Wrath,2,460911160,0
4,14,Sanimales,1,436393020,0
4,15,LMX,2,435255519,0
4,16,Arwres,2,424556753,0
4,17,chefinha,1,414704359,0
4,18,Lord of North,2,414641090,0
4,19,Sanimales,2,402099967,0
4,20,Lord_Kris,2,398731033,0
5,1,Raggylug,1,1145162400,1
5,2,LE RAT CANAM,2,764268979,0
5,3,Ananas,1,653874940,0
5,4,Sassy,2,640980163,0
5,5,Middletonia,1,613325737,0
5,6,Lina,1,596738524,0
5,7,Wrath,1,573791241,0
5,8,Lina,2,535918745,0
5,9,Greys,2,524840054,0
5,10,Luckynanas,2,520767142,0
5,11,~SHADAI~,1,496024754,0
5,12,Japip,2,479556324,0
5,13,Lord_Kris,1,465842755,0
5,14,Patti,1,457511507,0
5,15,Jesse,1,440980668,0
5,16,~SHADAI~,2,433262523,0
5,17,Dobbinater,1,415330000,0
5,18,RADA,1,413761038,0
5,19,SNOW X JOKER,1,406873059,0
5,20,Gemini,1,384762292,0
6,1,Leoder,2,1140306698,1
6,2,LE RAT CANAM,1,691549411,0
6,3,Shaka,2,644099138,0
6,4,Greys,1,641425766,0
6,5,Reddyvetty,1,606082123,0
6,6,"Paulo""",2,603531217,0
6,7,Ananas,2,570605386,0
6,8,Middletonia,2,548454351,0
6,9,Phoe Iago,1,519612110,0
6,10,Kaptain Kurt,1,516660207,0
6,11,Arwres,1,485896948,0
6,12,Phoe Iago,2,478613415,0
6,13,ESPARTACO,1,472766971,0
6,14,Lord of North,1,453466614,0
6,15,LMX,1,445631871,0
6,16,madam mimin,1,433211338,0
6,17,Patti,2,422171751,0
6,18,8SMITTY8,1,412522691,0
6,19,Dobbinater,2,408729979,0
6,20,Gemini,2,363659438,0
