rank,player,squad,rank_badge,power,current
1,Leoder,1,R3,1406902665,1
2,Ms Get Down,1,R3,1183125765,1
3,Chytras,1,R3,1158129302,1
4,Raggylug,1,R4,1145162400,1
5,Leoder,2,R3,1140306698,1
6,Team hala kahiki,1,R3,1119832218,1
7,Nibbler,1,R4,1103042165,1
8,Nibbler,2,R4,1070898058,1
9,Interstellar,1,R3,1018920530,1
10,Chytras,2,R3,957610969,1
11,Raggylug,2,R4,956457204,1
12,Ms Get Down,2,R3,934809291,1
13,Team hala kahiki,2,R3,922771277,1
14,Awares,1,R4,892185476,1
15,Interstellar,2,R3,833194697,1
16,Katnanas,1,R3,816881187,1
17,Shaka,1,R5,813033481,1
18,Mai ♡,1,,790000000,1
19,"Paulo""",1,R3,767604589,1
20,PsyPat,1,R3,690005104,1
21,MAJD MAJD,1,R3,686438422,1
22,Sassy,1,R4,679870452,1
23,Katnanas,2,R3,670913084,1
24,Awares,2,R4,660387031,1
25,Ananas,1,R4,653874940,1
26,Shaka,2,R5,644099138,1
27,Greys,1,R3,641425766,4
28,Sassy,2,R4,640980163,1
29,Mai ♡,2,,626000000,1
30,CANSæRBæRæ,1,,624000000,1
31,Middletonia,1,R3,613325737,1
32,Reddyvetty,1,R3,606082123,1
33,"Paulo""",2,R3,603531217,1
34,Lina,1,R3,596738524,1
35,PsyPat,2,R3,594107232,1
36,Japip,1,R3,586703177,1
37,Wrath,1,R3,573791241,1
38,Ananas,2,R4,570605386,1
39,Middletonia,2,R3,548454351,1
40,Lina,2,R3,535918745,1
41,MAJD MAJD,2,R3,530696165,1
42,Reddyvetty,2,R3,530422575,1
43,Greys,2,R3,524840054,3
44,Phoe Iago,1,R3,519612110,1
45,Kaptain Kurt,1,R3,516660207,1
46,~SHADAI~,1,R3,496024754,5
47,CANSæRBæRæ,2,,495000000,1
48,Kaptain Kurt,2,R3,483111119,1
49,Japip,2,R3,479556324,1
50,Phoe Iago,2,R3,478613415,1
51,ESPARTACO,1,R2,472766971,1
52,Lord_Kris,1,R2,465842755,1
53,ESPARTACO,2,R2,461748896,1
54,Wrath,2,R3,460911160,1
55,Patti,1,R3,457511507,1
56,Lord of North,1,R3,453466614,1
57,LMX,1,R3,445631871,1
58,Jesse,1,R3,440980668,1
59,Sanimales,1,R3,436393020,1
60,LMX,2,R3,435255519,1
61,~SHADAI~,2,R3,433262523,4
62,madam mimin,1,R3,433211338,1
63,Patti,2,R3,422171751,1
64,Dobbinater,1,R3,415330000,1
65,chefinha,1,R3,414704359,1
66,Lord of North,2,R3,414641090,1
67,RADA,1,R3,413761038,1
68,8SMITTY8,1,R3,412522691,1
69,Dobbinater,2,R3,408729979,1
70,SNOW X JOKER,1,R3,406873059,1
71,Sanimales,2,R3,402099967,1
72,Lord_Kris,2,R2,398731033,1
73,RADA,2,R3,396043169,1
74,Doxter,1,R3,386025319,2
75,madam mimin,2,R3,382873937,1
76,Freefall,1,R3,372699976,1
77,chefinha,2,R3,368751833,1
78,8SMITTY8,2,R3,365768516,1
79,المهندسة,1,R3,359300368,1
80,Jesse,2,R3,358458285,1
81,المهندسة,2,R3,355430280,1
82,SNOW X JOKER,2,R3,352446643,1
83,effylyt,1,R3,348611717,1
84,Freefall,2,R3,339096497,1
85,Manabeille,1,R3,337889525,1
86,Panda,1,R2,336923830,1
87,Manabeille,2,R3,333210282,1
88,Happy,1,R3,327777862,1
89,Carlitos__,1,R3,320900669,1
90,effylyt,2,R3,320002046,1
91,Doxter,2,R3,305265829,3
92,Carlitos__,2,R3,304804417,1
93,Happy,2,R3,298068782,1
94,Celestis,1,R3,287877172,1
95,Celestis,2,R3,277907929,1
96,Cassss,1,R2,277541885,1
97,Panda,2,R2,272941880,1
98,Gang&ter,1,R1,272435298,1
99,Anunnaki,1,R2,266171547,1
100,capy bara,1,R3,260175268,1
101,Cassss,2,R2,258973704,1
102,Benson,1,R2,247490530,1
103,capy bara,2,R3,243430548,1
104,Anunnaki,2,R2,229721764,1
105,Gang&ter,2,R1,229291364,1
106,Danii,1,R2,227990909,1
107,Benson,2,R2,227373773,1
108,Lily blue,1,R3,215409073,1
109,Lily blue,2,R3,210384795,1
110,Danii,2,R2,183950959,1
111,Elysian,1,R1,156158572,1
112,Elysian,2,R1,148587928,1
